#汉字	同音同调	同音异调
一	壹漪	以义移易
丁	盯叮	钉锭鼎定郑顶订
七	戚漆栖凄溪欺柒妻	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
万	玩腕惋	顽娩碗宛丸豌完湾婉晚弯挽
丈	涨长帐胀杖仗账障	彰掌樟张章
三	参	散伞
上	赏尚晌	伤商裳汤
下	暇厦夏吓	虾狭洽匣挟峡侠瞎霞斜辖
不	埠步怖部布簿	捕补哺卜
与	域裕雨屿予玉愈尉育誉浴寓欲芋羽御狱郁豫预遇语吁谷宇喻	逾迂于愉渔榆娱鱼舆隅愚淤
丐	溉概盖钙	该改
丑		臭稠绸畴筹愁仇抽酬
专	砖	传撰赚转
且		怯切窃茄契
世	拭势逝室是使柿侍市士饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
丘	蚯龟秋	求仇球囚
丙	饼柄禀秉屏	冰兵病并
业	页咽夜叶射谒	爷野椰也冶
丛	从	聪葱囱匆
东	冬	冻栋董动懂洞
丝	司思斯撕嘶私	死食四饲伺肆似赐寺
两	俩	凉量谅粱晾良亮辆梁粮
严	炎颜阎延沿研癌盐言	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
丧	桑	嗓
个	各	搁阁合革隔蛤胳鸽歌格戈割葛哥疙
中	种忠盅众衷重终钟仲	肿
丰	疯峰风封枫锋讽蜂	奉凤缝逢冯
串		传喘穿川
临	淋鳞琳邻林磷	凛赁吝躏
丸	玩完顽	万腕碗娩宛豌惋湾婉晚弯挽
丹	单耽担	弹淡胆石氮蛋旦但诞
为	卫薇位喂伪尉维胃未味违遗慰蔚微桅谓围唯危魏巍畏	委伟尾苇威偎萎纬
主	贮煮拄属嘱	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
丽	立吏犁厘黎狸梨砾雳痢璃隶沥离粒励厉力荔历莉篱漓例俐利栗	李礼理哩里鲤
举	矩沮	聚蛆居车具俱炬句锯局据菊拘鞠巨剧距橘拒驹惧足
乃	奶奈	耐
久	九酒韭灸纠玖	就舅揪鸠臼旧救疚究
么	夭哟腰吆要邀妖	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
义	腋邑逸艺肄掖亦意抑溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
之	只氏芝枝肢知织蜘支吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质酯
乌	于巫诬屋呜污恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
乍	栅炸诈	眨喳渣查扎闸
乎	呼忽戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
乏	阀伐法罚筏	发
乐	悦越阅勒垃岳肋说耀药粤跃要拗钥月	侥摇么哟夭淆腰遥舀肴谣咬吆约邀窑姚了妖
乒		苹萍平评屏坪冯瓶凭
乓	磅	旁胖膀螃庞
乔	桥侨瞧憔翘	巧窍峭锹跷撬壳俏鹊敲悄雀
乖		拐怪
乘	呈惩成城程诚承剩圣胜盛橙澄	称秤牲生绳升撑逞笙省甥声
乙	已	亿艺忆
九	久酒纠玖	就舅揪鸠臼旧救疚究
乞	起岂启稽	泣迄戚漆畦脐妻七只鳍气奇砌契凄企祈骑枝旗栖欺歧柒器棋弃汽齐其溪崎期
也	野冶	页咽爷夜业椰叶射谒
习	袭息媳昔惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
乡	像橡相项向箱镶巷厢湘象香	想祥详享响翔降
买		迈埋麦脉卖
乱		卵峦
乳	女辱	蠕入如褥儒
了	燎料	撩聊疗缭辽寥潦僚嘹
了	辽
予	逾雨屿愉于榆鱼愚羽渔娱与舆隅语宇	愈浴淤狱豫遇谷喻域裕玉尉育誉寓欲御迂郁预吁芋
争	丁正征筝怔症狰睁挣蒸	政整郑证拯
事	拭势逝室是使柿侍市士世饰适誓试氏视恃示式识释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
二	贰	尔耳饵而儿
于	逾予愉榆鱼巫诬乌屋愚恶渔娱舆隅呜污	屿无愈务伍雾浴午淤吴狱舞勿与豫梧五羽武语谷遇喻域裕雨芜玉育尉誉悟亡寓欲御迂蜈郁晤误物坞预捂侮鹉吁芋宇
于	逾予愉渔娱鱼榆舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
亏	盔窥	傀葵魁愧溃
云	耘匀	晕酝陨允孕运蕴韵员
互	户沪护	壶许呼狐戏唬乎胡葫虎忽糊蝴弧湖
五	舞伍捂侮午鹉武	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
井	颈警景阱	兢惊径境竞荆茎靖京竟镜鲸经精睛静净劲敬更晶
亚	雅讶轧哑	牙压蚜鸭鸦呀涯衙押芽
些	歇	骇屉屑鞋挟蟹携谐楔斜邪懈械胁谢写协卸契泻解血
亡	蜈王无芜巫诬梧吴	旺于务伍雾望乌午网忘妄舞勿武五呜污枉悟屋恶往晤误物坞捂侮鹉汪
交	椒蕉娇胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
亥	骇害	孩咳还海
亦	腋邑逸艺肄掖意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
产	铲阐	馋单蝉搀缠掺
亩	姥姆母拇牡	幕募木慕暮沐目牧墓穆模睦
享	想响	像祥向箱镶巷详湘象降橡相项乡厢翔香
京	鲸兢惊精经睛荆茎更晶	颈径境竞静阱景净井劲靖警敬竟镜
亭	庭蜓廷停	厅艇听挺
亮	凉量谅晾辆	两俩良粮梁粱
亲	侵庆钦	勤秦倾卿情顷寝清请蜻晴青芹氢擒琴禽擎轻
人	仁儿任	赁认韧纫忍刃
亿	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
什	提甚实舌食时硕石十蚀蛇拾射	拭匙势室施屎使柿侍驶饰涉誓狮氏诗恃示奢式史事赦释嗜适尸失逝是虱士舍市叶世赊摄试矢设社视识始师湿
仁	儿人任	赁认韧纫忍刃
仅	进尽紧锦劲谨禁浸近晋	津金斤巾今筋襟
仆	菩葡朴蒲脯	瀑浦谱暴铺圃普扑
仆	铺扑	瀑菩葡朴浦谱暴蒲圃普脯
仇	稠囚绸畴筹求愁球酬	臭蚯丑丘龟秋抽
今	津金斤巾禁浸筋襟	进尽锦紧劲仅谨近晋
介	届界解借诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
仍		扔
从	聪丛囱综纵匆葱	棕总踪宗
仑	轮抡伦论沦
仓	苍舱沧	藏
仔	紫宰籽子载滓	资滋栽自字姿在再吱灾咨
仗	丈涨长帐胀杖账障	彰掌樟张章
付	附妇赴傅赋富复咐父腹负副	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
仙	鲜先纤掀	嫌馅衔弦险腺线涎舷癣闲贤县咸现显陷限铣献宪
代	贷戴袋带大待逮怠	歹呆
令	另	岭领凌灵菱玲伶蛉铃陵龄翎零
以	尾椅乙蚁矣已倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
仪	夷宜疑蛇遗一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
们	门	闷
仰	痒氧养	阳羊鸯杨样扬秧殃央洋漾
仲	中种重众	忠盅肿衷终钟
件	践建溅鉴渐健荐监涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
价	架稼嫁贾假驾	佳荚钾挟加家轧甲颊夏夹嘉茄
任	赁认韧纫人刃儿仁	忍
